Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
Wildcat of Bombay,"Crime, Drama","The story revolves around the characters played by the actress Sulochana. Sulochana had eight separate roles in this film: a gardener, a policeman, a Hyderabadi gentleman, a street urchin, a European blonde, an old banana-seller and an expert pickpocket who gives her money to charity.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Sacrifice,Drama,"The story addresses the conflict between reformist enlightenment and obsolete, inhuman ritual, questioning the contemporary validity of traditional rituals. The dramatic pivot is the conflict between the king who banned animal sacrifice, and the priest who calls for the king's own blood. Emotionally, the film revolves around the childless queen and a beggar girl whose pet goat has been taken for the sacrifice and who loves a servant in the temple.",No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Madhuri,Drama,"The story follows a kind princess, facing danger from an evil prince, while a brave warrior helps her and they fell in love, but face unknown dangers.",Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No
Anarbala,"Horror, Fantasy","A lighting fast horse, a pair of magic sandals, and a mystical stick aid an adventurous young lady (Zebunissa).",No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No
A Throw of Dice,"Drama, Adventure, Romance","Two neighboring kings addicted to gambling, Ranjit and his cousin Sohat, vie for the same beautiful young woman, Sunita, daughter of the hermit Kanwa.",No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
The Light of the World,Fantasy,"A period fantasy that told of the ageing king of Kamarpur, and his two rival queens, Navbahar and Dilbahar, and their rivalry when a fakir predicts that Navbahar will bear the king's heir. Dilbahar unsuccessfully tries to seduce the army chief Adil (Vithal) and vengefully destroys his family, leaving his daughter Alam Ara (Zubeida) to be raised by nomads. Eventually, Alam Ara's nomad friends invade the palace, expose Dilbahar's schemes, release Adil from the dungeon and she marries the prince of the realm.",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
Diler Jagar,"Action, Adventure, Drama","This silent film opens with shots of a hand distributing charity from a silver plate to a waiting crowd and tells of the good king of Magadh's fight with his evil ministers. The king is poisoned by his brother, the evil Kalsen and the infant prince Chandrapratab, smuggled out by the loyal sardar Satyapal, grows up in a forest to become the acrobat Hamir (Hamir) in love with his partner, the beautiful Saranga (Pawar, credited as 'Ambu'). Saranga is kidnapped by Kalsen's son Ramanaraj , described as 'the perfect libertine', but Kalsen takes her away from his son and attempts to seduce Saranga with promises of wealth. The fearless Hamir fights dozens of soldiers, in amateurishly staged fights, trying to liberate her. In the end Saranga, rejected by her lover for having been tempted by Kalsen's promises of wealth, dons a mask and turns into a Zorr-type avenger. Hamir is eventually recognized by the royal tattoo on his shoulder and restored to the throne as well as reunited with Saranga.",Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No
Draupadi,Drama,Draupadi (The Daughter Of King Drupad) is a 1931 sound film from Indian cinema.,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No
Miss 1933,"Crime, Drama",A classic modernization melodrama exploring the consequences of female autonomy.,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Indira M.A.,Drama,"A girl with an MA from Oxford rejects an 'idiot' chosen by her alcoholic father, and falls for the playboy.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Society's Mistake,"Drama, Crime",Unusually violent film for its time advocating widow's right to remarry.,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
Seeta,Drama,"Seeta was a 1933 Indian talkie Bengali film, directed by Debaki Bose and produced by the East India Film Company.[1] It won an honorary diploma in the 2nd Venice International Film Festival in 1934, becoming the first Indian talkie to be shown at an international film festival.",No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
The Mill,Drama,A realistic treatment of industrial working-class conditions in a Bombay textile mill.,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
Wedding Night,"Horror, Thriller, Romance","The Story revolves around the life of a kind and sweet girl living with her family and her family wanted a fortune for her and arranged her marriage with a kind man and they meet before their marriage and fells in love with each other- but things get complicated in their wedding night- which causes their life into trouble- but fate plays its role, leading to consequences.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Judgement of Allah,History,"A classic period movie. It is set in the Ottaman empire where Caesar's Roman armies clash with the Muslim kingdoms. Ziyad, the son of the sultan, is captured by the Romans. Rahil, a Roman princess, falls in love with him and asks the Muslim woman Leila to guard him. Leila smuggles a message written in her blood to the sultan.",No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes
Inquilab,Drama,"A drama set amid an earthquake in Bihar. Miss Renee (Khote) looks after the victims while her lover, the businessman Sardar (Mohanned), wants to make money from the disaster.",No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Jawani Ki Hawa,"Romance, Crime, Thriller","Kamala elopes on her wedding day with her childhood friend Ratanlal. Her father Manganlal chases the couple and catches them on a train. His furious exchanges with Ratanlal are interrupted by gunfire and in the mysterious gloom of the evening a body is thrown off the train. The suspects are Ratanlal, who cannot furnish an alibi, Kamala, who insists on being the murderess, ex-convict Sukhdev, who confesses to the murder claiming robbery to be the motive, and the lunatic Tarachand, who also admits his guilt.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No
Dhoop Chhaon,Drama,"A remake of the Bengali film Bhagya Chakra, it was the first Hindi film to use playback singing. It was director Nitin Bose who came up with the idea of playback singing.",No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Hunterwali,"Adventure, Action","Preceded by a legend describing its heroine as a 'Brave Indian girl who sacrificed royal luxuries to the cause of her people and her country', the story opens with a prologue showing Krishnavati and her infant son being thrown out of the house in a thunderstorm by the wicked Prime Minister Ranamal who also killed her brother. 20 years later the now adult son, Jaswant, is hit by a royal motor car and given a bag of gold in compensation. His refusal of the gift attracts the admiration of Princess Madhuri. When the nasty Ranamal, who wants to marry her, imprisons her father the king, she becomes the masked Hunterwali, 'protector of the poor and punisher of evildoers', and performer of stunts like jumping over a moving cartand fighting 20 soldiers at once. She steals Jaswant's prize horse, Punjab, but returns it later. Jaswant chances upon a nude Hunterwali bathing in the river and after a long duel captures her and takes her to Ranamal to claim his reward.",No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No
Madam Fashion,"Drama, Music","About the modern girl of India. Fashion, fast cars, luxury and sexual freedom.",No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
Miss Frontier Mail,Drama,"Savita, aka Miss 1936, is an amateur hunter while her brother Jayant is an amateur film-maker. Their father, Maganlal, arrested for the murder of a station-master, is defended by their uncle Shyamlal, who is in fact the mysterious Signal X. Shyamlal causes a major train smash-up so as to promote his new airline. He then implicates hero Sundar, son of the railway president, in the crime. Savita overcomes the nasty Signal X, whose henchmen are caught on film by Jayant as they sabotage a bridge. Nadia indulges in extensive fist-fights, set to heavy sound effects, and a famous battle alongside Sundar atop a moving train.",No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No
Devdas,"Drama, Romance","Devdas, the son of a zamindar, and Parvati, his neighbour's daughter, are childhood sweethearts. However, class and caste differences prevent their marriage. Devdas is sent off to Calcutta, while Paro is married off to an aged rich widower. In Calcutta, as remorse drives him to alcohol, Devdas meets Chandramukhi, a tawaif.",Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Janmabhoomi,"Romance, Drama","A nationalist rural drama. The plot has Ajau and his girl friend Protima working on behalf of Indian villagers, incurring the enmity of the local zamindar and the villainous Sanatan. Ajay's relentless goodness eventually persuades the zamindar to bequeath his property to the hero, and general well-being reigns as class conflict is transmuted into class collaboration. The film includes the nationalist song 'Jai jai janani janmabhoomi' and other choruses with a similar thrust.",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No
Jeevan Naiya,Drama,"Lata, daughter of a dancing girl, is brought up by social worker Mathuradas and is engaged to marry the rich Ranjit when the villain Chand arrives to blackmail her with her undisclosed ancestry. Lata is forced to disclose the truth to Ranjit and the assembled wedding guests. Ranjit disowns her but they are reunited when Ranjit, blinded by an explosion, is nursed back to health by a devoted woman who turns out to be his wife.",Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Untouchable Girl,"Drama, Music","An ""untouchable"" girl and a Brahmin boy fall in love, but the strict caste system and the gossip of the villagers threaten to keep them apart.",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No
Amar Jyoti,"Drama, Adventure, Action, Music","Faced with extreme patriarchal laws in an ancient seaport kingdom and denied the legal custody of her infant son, a young woman becomes a pirate declaring war on the state's tyrannical minister of justice.",No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No
Gentleman Daku,"Action, Adventure","The story follows a brave man who rescues a sweet girl from criminals, and they fall in love. An incident causes trouble, leading to consequences for the family and the criminals.",No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Jeevan Swapna,"Drama, Music","""Journeys End"" a traditional tale told by one of the pioneers in Indian cinema, Jaddanbai Hussain (1892-1949).",No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
Duniya Na Mane,Drama,A young girl who is forced to marry an aging lawyer. She is implored to find a young husband before her would be husband snuffs the idea out.,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
President,Drama,"Badi Bahen aka President is a 1937 Hindi social romantic drama film (the Bengali version was called Didi and starred several different actors). The story according to the credit roll of the film is ""A tale of love and greater love"" developed on an idea by M. M. Begg. It was a love triangle with a social content that highlighted the conditions of the mill workers. It was also the first film to show a liberated educated woman managing her own factory",Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
Prem Kahani,"Drama, Family, Romance",Two widowed sisters thwart a love match when they try to arrange marriages for their respective children.,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Zamana,"Drama, Romance","A married couple is overcoming social challenges and obstacles, with fate playing a pivotal role in their decisions.",Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Bhabhi,"Family, Drama","The film is family social drama, which deals with the issue of young widows. It put a special focus on the Indian society's attitude towards them, and society's bigoted approach to ""man- woman relationships""",No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Jailor,Drama,"Modi's first psychodramatic role as a liberal man becoming a tyrannical jailer. He loses his wife to a lover who then goes blind. The jailer locks up his wife, Kanwal, in their own home, forbidding any contact with their child, Bali. Later the jailer himself falls in love with a blind woman.",No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Street Singer,Drama,Two street urchins dream of singing and making it big in the glamorous world of theatre in Calcutta.,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Professor Vaman M.Sc,"Science Fiction, Horror","Using the moon’s rays, Professor Harnam invents a potion that turns man into a murderous beast. His brother Professor Vaman, realizing the dangers of this invention, realizes the urgent need of producing an antidote to avoid disaster. However, it is too late as Harnam’s daughter drinks the potion during a quarrel with her lover Detective Kishore and the city begins to witness a murder spree amongst its elite and wealthy citizens.",No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes
Nirmala,"Drama, Music","Nirmala (Devika Rani) is a modern girl - young, beautiful, dressed in the latest fashions, attends college, and is even the only female in an all-male class. She doesn't take second place to the men, besting all but one in the annual exams. She tied with Ramdas (Ashok Kumar). But, at the same time she is tied to the age-old culture, traditions and religion. She yearns for a husband and for motherhood. And this conflict forms the crux of the story.",No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes
Sapera,Horror,Adapted from a story by Kazi Nazrul Islam this film concerns love and revenge among a tribe of snake charmers led by Jahar (Nawab) who is searching for his 100th poisonous snake so as to show how he can magically cure its deadly bite.,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No
Brandy Ki Botal,Drama,"A clerk in a municipal office discovers brandy to save his boss's ill son, leading to adventures.",No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Leatherface,"Action, Adventure","In this stunt-film, Hero Samar (Jairaj) singlehandedly takes on the might of the oppressive state led by the warlord chief (M. Zahoor). He falls in love with the chief's sister Ila (Mehtab) and fights his revolution from the tavern of Dulari (Shirin) with little more than a band of adventurers, a leatherface mask, his faithful dog Tiger, and his horse Bahadur.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Life's for Living: Aadmi,Drama,"A love tragedy featuring a policeman, Moti (Modak) and a prostitute, Kesar (Hublikar).",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Durga,Drama,"Rural melodrama about Durga, an adolescent child of nature, living with her aged mother Heera. Unable to get the medicine required to prevent her mother's death, one misfortune after another befalls the heroine in spite of the sympathies of the newly arrived village doctor, Jawahar.",No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Prem Nagar,Romance,"Prem Nagar is a small, happy and contented village somewhere in India. A tiny spark of anger flared up a misunderstanding, a quarrel, jealousy, and greed: So grew envy. This envy burst out into a flame and the flame nearly destroyed the whole village.",Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Ek Hi Bhool,"Horror, Mystery",A man is executed for a crime he did not commit. Is his ghost seeking revenge?,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No
Aurat,Drama,"Radha is a resolute mother, who strives hard against poverty and a lecherous money lender to feed her two sons who grew up with contrasting temperament.",No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Azad,Drama,"The story centres on three college friends: the liberal Vijay, the conservative Loknath and Jagdish.",No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Acchut,"Drama, History","Achhut (The Untouchable) is a 1940 social Indian Hindi film based on untouchability. It was the third highest grossing Indian film of 1940. The film was made to ""promote Gandhi's movement against untouchability"".",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Zindagi,Drama,The story of an unemployed graduate who falls in love with a woman who ran away from her cruel husband.,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Bandhan,"Drama, Family","Bandhan is a 1940 Indian Bollywood film directed by N.R. Acharya. It stars Leela Chitnis, Ashok Kumar and Suresh. It was the second highest grossing Indian film of 1940. It was produced by Bombay Talkies.",No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Alibaba,Fantasy,"Alibaba and his son live with his rich brother Cassim. Marjina and Zabba are two slave girls who work in Cassim's house. Marjina and Alibaba's son are in love with each other. Zabba is in league with Abu Hassan, who is the leader of a gang of thieves. Alibaba finds the thieves' cave and becomes rich. Cassim's wife insists on knowing the secret of his wealth. Alibaba tells his brother who goes to the cave but can't get out as he's forgotten the magic words. The thieves find him and kill him. Alibaba and his son find Cassim and bring his body back for burial. Abu Hassan finds out about Alibaba, and the story then follows Marjina outsmarting Abu Hassan, who comes visiting as a merchant.",No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No
Nartaki,"Drama, Music, Romance","Roop Kumari (Leela Desai) a famous court dancer is forbidden entry into a temple monastery run by a strict disciplinarian Priest. The cast listed here is for the Hindi version, there is also a Bengali version with a different cast, but same director and release year.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
Chitralekha,"Drama, History, Musical, Romance","Chitralekha is a 1941 Indian Hindi-language film, directed by Kidar Sharma and based on the 1934 Hindi novel of the same name by Bhagwati Charan Verma.",Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
Padosi,Drama,"Hindi version of the film starring Mazhar Khan, Gajanan Jagirdar and Anees Khatoon. In a small village in India, the villagers of different communities live in harmony. But when an industrialist, arrives to construct a dam, he sows distrust and disunity between the Muslim and Hindi communities.",No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Khazanchi,Mystery,"A cashier faces false allegations for killing an actress, so he needs to prove his innocence.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Sikandar,"War, Drama, History","The film begins after Alexander the Great (Sikander in Hindi/Urdu) conquers Persia and the Kabul valley and approaches the Indian border at Jhelum. Sohrab Modi plays the Indian king Puru (Porus to the Greeks).  The story goes that when Sikander defeated Porus and imprisoned him, he asked Porus how would he like to be treated. Porus replied the same way a defeated king is treated by the winner (meaning killed).",No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No
Bahen,Drama,"Having saved his little sister Bina (Baby Meena Kumari) from the floods, Amar (Sheikh Mukhtar) becomes increasingly possessive about her over the years. Amar falls in love twice but forgoes marriage so he can look after the growing Bina. Bina (Nalini Jaywant), now a grown up young girl falls in love with the social activist Rajendra (Harish). However, Amar can not bear to lose Bina and so he plans her marriage to the thief Moti Kanhaiyalal, with the idea that he'll get her divorced after some time and then Bina would stay with him always. After several incidents that end up uniting Rajendra and Bina, Amar gets some happiness when a daughter is born to Bina.",No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Station Master,Drama,"A railway employee, Kalicharan, would like Usha, the Station Master of Rangpur Railway Station's daughter, to get married to Niranjan, the DTS of Indian Railways, but Usha has fallen in love with Arun, a Guard with the Railway, wants to marry him, and refuses to marry Niranjan, who is twice as old as her and a widower as well.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Bharat Milap,"Adventure, Drama, History",Maharani Kekaiyi schemes to get her son on the throne.,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Roti,Drama,"Roti made in the early 1940s inspired by the German Expressionism, is a real critique of Indian society with prophetic insight. It deals with two models - one of a millionaire, possessed by money and power in an industrial civilisation, the other of a tribal couple living in a primeval state of nature. The millionaire is saved by the couple after an air crash, the tribal couple emigrate to the city, do not find happiness and return. The millionaire is ruined in the city, tries futilely to find salvation among the tribal.",No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes
Basant,"Drama, Music","Uma (Mumtaz Shanti) and Babul (Suresh) are poor and homeless siblings. Both of them have got singing talent but are unable to find any job. Then they meet Nirmal who is younger brother of theater owner Janki Babu. Nirmal persuades his brother to give them a chance. After seeing their talent, Janki Babu also admires Uma and gives her leading role at his theater. Then Nirmal and Uma fall in love with each other and get married. However, Nirmal has a misunderstanding that his elder brother also likes Uma and wanted to marry her. He does not approve of Uma's job in theater but himself is struggling to find a job. Uma leaves the job and they also also leave Janki babu's house. Now they have a small baby daughter, Manju. But soon they see the true face of poverty and struggle to cope with it.",Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes
Zamindar,Mystery,"A young blind girl is the only witness to the murder of a greedy, but repentant, landlord.",No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No
Bhakta Surdas,"History, Music",Bhakt Surdas was a great saint and devotee of Lord Krishna. He was a 16th-century poet who was blind.,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
Saugandh,"Drama, Romance","A father worries for his younger son and asks his elder son to promise that he will do everthing in his power to ensure Arun does not go astray, educates himself and becomes an independent man. However, fate has other plans. When Arun commits an unthinkable crime, his brother fulfills the promise made to their father and shields his younger sibling from all harm.",No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Khandaan,Drama,"A young man gets jailed for killing a woman who seduces him. When he gets released, he tries to stop his employer's son from committing the same kind of crime he did.",No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Sanjog,"Comedy, Drama",Deepak goes for an interview and mistaken as possible groom for Rajasaheb's daughter Bina. They fall in love but afraid of dire consequences Deepak runs away. They meet again and Rajasaheb get Bina married off to Deepak.,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Hamari Baat,Drama,Hamari Baat is a Bollywood film. It was released in 1943.,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Shakuntala,"Drama, Romance","Following a passionate encounter with King Dushyanta (Chandramohan), the comely Shakuntala (Jayashree) finds herself pregnant and rejected by the royal court. She gives birth in a forest to a son which she names Bharat (Kumar Ganesh). When the King tracks his former lover down and tries to take her back, she flatly refuses him.",Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No
Taqdeer,Comedy,"In between his more ambitious Najma (1943) and Humayun (1945), Mehboob made this lightweight comedy about Justice Gangaprasad (Chandramohan) and theatre-owner Seth Badriprasad (Charlie) who lose their daughter and son respectively in the Kumbh Mela.",No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Ram Rajya,Drama,"Following Bhagwan Shri Ram's 14 year exile, whereby he demolishes the evil empire of Lord Ravan, rescues his wife, Sita, and returns triumphantly home to Ayodhya to be crowned the King. Bhagwan Ram arranges for Sita to be placed on top a funeral pyre, and when she comes out unscathed with the Lord of Fire himself appearing and asking Bhagwan Ram to take Sita back as she is pure, and her presence has not only purified Ayodhya, but also Sri Lanka, as well as himself.",No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Naukar,Drama,"Naukar is a 1943 Indian Bollywood film directed by Shaukat Hussain Rizvi and starring Chandra Mohan, Noor Jehan and Shobhna Samarth. It was the fifth-highest-grossing Indian film of 1943.",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Wapas,"Drama, Romance",Two young friends bond when they visit the village fair. They fall in love. What seems like a simple story soon turns into a conflict zone between families and when pride is hurt love is sure to suffer. Wapas is a tale of wronged love. Will the young lovers be able to bury their differences and find love again?,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Kismet,Drama,A former theater owner and his crippled daughter live in poverty until a chance encounter with a young pickpocket brings romance for the petty criminal and daughter as well as a chance by the father to get back at the villainous new theater owner who ousted him from the business years before.,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Kashinath,Drama,"Shiromoni, a village priest sends his son on an errand to the house of Mr. Mukherjee. On his return Kashinath discovers his father is no more. With no kin to support him Mr. Mukherjee suggests that Kashinath should move over to live with Mr. Pitambar Chakraborty, the zamindar [Landlord]. Kashinath however, is in no mood to leave Mr. Mukherjee's home as he has started to grow attached to Mukherjee's daughter Bindu.",No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Najma,Drama,"Najma is a 1943 Indian film directed by Mehboob Khan and starring Ashok Kumar and Veena. The film's music is by Rafiq Ghaznavi with lyrics by Anjum Pilibhiti. Najma was the first film under Mehboob Khan's Mehboob Productions banner. Due to its financial success upon release, the film became a blueprint for Muslim socials that followed.",No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
My Sister,"Drama, Romance","Set against the backdrop of WW II in Calcutta, ""Meri Bahen"" is the story of a schoolteacher and his young sister. The film followed his rise to fame as a singer and the changes in his relationships following a bomb-raid.",No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes
Jwar Bhata,"Drama, Romance","Film starring Ruma Guha Thakurta, Aga Jaan and Vikram Kapoor",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
