title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Wildcat of Bombay,"['Crime', ' Drama']","The story revolves around the characters played by the actress Sulochana. Sulochana had eight separate roles in this film: a gardener, a policeman, a Hyderabadi gentleman, a street urchin, a European blonde, an old banana-seller and an expert pickpocket who gives her money to charity.",1927-02-26,['Mohan Dayaram Bhavnani'],Yes,No,No,No,No,No,Yes,No,No,No,tt0157188,"Ruby Mayer, Dinshaw Billimoria, Jamshedji",No,No,No
Sacrifice,['Drama'],"The story addresses the conflict between reformist enlightenment and obsolete, inhuman ritual, questioning the contemporary validity of traditional rituals. The dramatic pivot is the conflict between the king who banned animal sacrifice, and the priest who calls for the king's own blood. Emotionally, the film revolves around the childless queen and a beggar girl whose pet goat has been taken for the sacrifice and who loves a servant in the temple.",1927-03-01,['Naval Gandhi'],Yes,No,No,No,No,No,Yes,No,No,No,tt0214522,"Zubeida, Ruby Mayer, Master Vithal",No,No,No
Madhuri,['Drama'],"The story follows a kind princess, facing danger from an evil prince, while a brave warrior helps her and they fell in love, but face unknown dangers.",1928-08-18,['R.S. Choudhury'],Yes,No,No,No,No,No,Yes,No,No,No,tt0158739,"Zillu, Ruby Mayer, Dinshaw Billimoria",No,No,No
Anarbala,"['Horror', ' Fantasy']","A lighting fast horse, a pair of magic sandals, and a mystical stick aid an adventurous young lady (Zebunissa).",1929-01-01,['Bhagwati Prasad Mishra'],No,No,Yes,Yes,No,No,Yes,No,No,No,tt0241179,"Master Vithal, Zebunissa, Lobo",No,No,No
A Throw of Dice,"['Drama', ' Adventure', ' Romance']","Two neighboring kings addicted to gambling, Ranjit and his cousin Sohat, vie for the same beautiful young woman, Sunita, daughter of the hermit Kanwa.",1929-08-16,['Franz Osten'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0020286,"Seeta Devi, Himanshu Rai, Charu Roy",No,No,No
The Light of the World,['Fantasy'],"A period fantasy that told of the ageing king of Kamarpur, and his two rival queens, Navbahar and Dilbahar, and their rivalry when a fakir predicts that Navbahar will bear the king's heir. Dilbahar unsuccessfully tries to seduce the army chief Adil (Vithal) and vengefully destroys his family, leaving his daughter Alam Ara (Zubeida) to be raised by nomads. Eventually, Alam Ara's nomad friends invade the palace, expose Dilbahar's schemes, release Adil from the dungeon and she marries the prince of the realm.",1931-03-14,['Ardeshir Irani'],No,No,No,Yes,No,No,Yes,No,No,No,tt0021594,"Zubeida, Master Vithal, Jillo",No,No,No
Diler Jagar,"['Action', ' Adventure', ' Drama']","This silent film opens with shots of a hand distributing charity from a silver plate to a waiting crowd and tells of the good king of Magadh's fight with his evil ministers. The king is poisoned by his brother, the evil Kalsen and the infant prince Chandrapratab, smuggled out by the loyal sardar Satyapal, grows up in a forest to become the acrobat Hamir (Hamir) in love with his partner, the beautiful Saranga (Pawar, credited as 'Ambu'). Saranga is kidnapped by Kalsen's son Ramanaraj , described as 'the perfect libertine', but Kalsen takes her away from his son and attempts to seduce Saranga with promises of wealth. The fearless Hamir fights dozens of soldiers, in amateurishly staged fights, trying to liberate her. In the end Saranga, rejected by her lover for having been tempted by Kalsen's promises of wealth, dons a mask and turns into a Zorr-type avenger. Hamir is eventually recognized by the royal tattoo on his shoulder and restored to the throne as well as reunited with Saranga.",1931-10-04,['S.S.Agarwal'],Yes,No,Yes,No,No,No,Yes,No,No,No,tt0252380,"Ezak Daniel, Lalita Pawar, Hamir",No,No,No
Madhuri,"['Drama', ' Action', ' Adventure']","The Gupta period depicts battles between Ujjain and Kanauj kingdoms, featuring Amber, Prince Tikka, and Madhuri, who defeats Kanauj's commander and rescues Amber.",1932-01-01,['R.S. Choudhury'],Yes,No,Yes,No,No,No,Yes,No,No,No,tt0158740,"Vinayakrao Patwardhan, Ruby Mayer, Ghulam Mohammed",No,No,No
Draupadi,['Drama'],Draupadi (The Daughter Of King Drupad) is a 1931 sound film from Indian cinema.,1932-12-31,['Bhagwati Prasad Mishra'],Yes,No,No,No,No,No,Yes,No,No,No,tt0241387,"Khalil, Ermeline, Jillo",No,No,No
Miss 1933,"['Crime', ' Drama']",A classic modernization melodrama exploring the consequences of female autonomy.,1933-01-01,['Chandulal Shah'],Yes,No,No,No,No,No,Yes,No,No,No,tt0262623,"Eddie Billimoria, Mehtab, Gohar Jan",No,No,No
Indira M.A.,['Drama'],"A girl with an MA from Oxford rejects an 'idiot' chosen by her alcoholic father, and falls for the playboy.",1934-01-01,['Nandlal Jaswantlal'],Yes,No,No,No,No,No,Yes,No,No,No,tt0230330,"Raja Sandow P.K., Ruby Mayer, Dinshaw Billimoria",No,No,No
Society's Mistake,"['Drama', ' Crime']",Unusually violent film for its time advocating widow's right to remarry.,1934-01-01,['Homi Master'],Yes,No,No,No,No,No,Yes,No,No,No,tt0239932,"Jamshedji, Dulari, Ghaznavi",No,No,No
Seeta,['Drama'],"Seeta was a 1933 Indian talkie Bengali film, directed by Debaki Bose and produced by the East India Film Company.[1] It won an honorary diploma in the 2nd Venice International Film Festival in 1934, becoming the first Indian talkie to be shown at an international film festival.",1934-12-30,['Debaki Kumar Bose'],Yes,No,No,No,No,No,Yes,No,No,No,tt0157008,"Dhiraj Bhattacharya, Gul Hamid, Mukhtar Begum",No,No,No
The Mill,['Drama'],A realistic treatment of industrial working-class conditions in a Bombay textile mill.,1934-12-31,['Mohan Dayaram Bhavnani'],Yes,No,No,No,No,No,Yes,No,No,No,tt0156780,"Bibbo, Paidi Jairaj, S.B. Nayampalli",No,No,No
Wedding Night,"['Horror', ' Thriller', ' Romance']","The Story revolves around the life of a kind and sweet girl living with her family and her family wanted a fortune for her and arranged her marriage with a kind man and they meet before their marriage and fells in love with each other- but things get complicated in their wedding night- which causes their life into trouble- but fate plays its role, leading to consequences.",1935-01-01,['Mohan Dayaram Bhavnani'],No,Yes,Yes,No,No,No,Yes,No,No,No,tt0157019,"Fatty Prasad, Nargis, S.B. Nayampalli",No,No,No
Judgement of Allah,['History'],"A classic period movie. It is set in the Ottaman empire where Caesar's Roman armies clash with the Muslim kingdoms. Ziyad, the son of the sultan, is captured by the Romans. Rahil, a Roman princess, falls in love with him and asks the Muslim woman Leila to guard him. Leila smuggles a message written in her blood to the sultan.",1935-01-01,['Mehboob Khan'],No,Yes,No,No,No,No,Yes,No,No,No,tt0231835,"Lala Yaqoob, Indira, M. Kumar",No,No,No
Inquilab,['Drama'],"A drama set amid an earthquake in Bihar. Miss Renee (Khote) looks after the victims while her lover, the businessman Sardar (Mohanned), wants to make money from the disaster.",1935-01-01,['Debaki Kumar Bose'],Yes,No,No,No,No,No,Yes,No,No,No,tt0026530,"Syed Mohammed, Prithviraj Kapoor, Durga Khote",No,No,No
Jawani Ki Hawa,"['Romance', ' Crime', ' Thriller']","Kamala elopes on her wedding day with her childhood friend Ratanlal. Her father Manganlal chases the couple and catches them on a train. His furious exchanges with Ratanlal are interrupted by gunfire and in the mysterious gloom of the evening a body is thrown off the train. The suspects are Ratanlal, who cannot furnish an alibi, Kamala, who insists on being the murderess, ex-convict Sukhdev, who confesses to the murder claiming robbery to be the motive, and the lunatic Tarachand, who also admits his guilt.",1935-01-01,['Franz Osten'],No,Yes,No,No,No,No,Yes,No,No,No,tt0026544,"Najmul Hussain, Devika Rani, Chandraprabha",No,No,No
Dhoop Chhaon,['Drama'],"A remake of the Bengali film Bhagya Chakra, it was the first Hindi film to use playback singing. It was director Nitin Bose who came up with the idea of playback singing.",1935-01-01,['Nitin Bose'],Yes,No,No,No,No,No,Yes,No,No,No,tt0379255,"Vikram Kapoor, Biswanath Bhaduri, Nawab",No,No,No
Hunterwali,"['Adventure', ' Action']","Preceded by a legend describing its heroine as a 'Brave Indian girl who sacrificed royal luxuries to the cause of her people and her country', the story opens with a prologue showing Krishnavati and her infant son being thrown out of the house in a thunderstorm by the wicked Prime Minister Ranamal who also killed her brother. 20 years later the now adult son, Jaswant, is hit by a royal motor car and given a bag of gold in compensation. His refusal of the gift attracts the admiration of Princess Madhuri. When the nasty Ranamal, who wants to marry her, imprisons her father the king, she becomes the masked Hunterwali, 'protector of the poor and punisher of evildoers', and performer of stunts like jumping over a moving cartand fighting 20 soldiers at once. She steals Jaswant's prize horse, Punjab, but returns it later. Jaswant chances upon a nude Hunterwali bathing in the river and after a long duel captures her and takes her to Ranamal to claim his reward.",1935-01-02,['Homi Wadia'],Yes,No,Yes,No,No,No,Yes,No,No,No,tt0268376,"Gulshan, Fearless Nadia, Sharifa",No,No,No
Madam Fashion,"['Drama', ' Music']","About the modern girl of India. Fashion, fast cars, luxury and sexual freedom.",1936-01-01,['Jaddanbai'],Yes,No,No,No,No,No,Yes,No,No,No,tt0230482,"Jaddanbai, Nazneen Begum, Anjum Husaini",No,No,No
Miss Frontier Mail,['Drama'],"Savita, aka Miss 1936, is an amateur hunter while her brother Jayant is an amateur film-maker. Their father, Maganlal, arrested for the murder of a station-master, is defended by their uncle Shyamlal, who is in fact the mysterious Signal X. Shyamlal causes a major train smash-up so as to promote his new airline. He then implicates hero Sundar, son of the railway president, in the crime. Savita overcomes the nasty Signal X, whose henchmen are caught on film by Jayant as they sabotage a bridge. Nadia indulges in extensive fist-fights, set to heavy sound effects, and a famous battle alongside Sundar atop a moving train.",1936-01-02,['Homi Wadia'],Yes,No,No,No,No,No,Yes,No,No,No,tt0271640,"Fearless Nadia, Sardar Mansur, Sayani Atish",No,No,No
Devdas,"['Drama', ' Romance']","Devdas, the son of a zamindar, and Parvati, his neighbour's daughter, are childhood sweethearts. However, class and caste differences prevent their marriage. Devdas is sent off to Calcutta, while Paro is married off to an aged rich widower. In Calcutta, as remorse drives him to alcohol, Devdas meets Chandramukhi, a tawaif.",1936-01-22,['P.C. Barua'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0026274,"Pahadi Sanyal, K.L. Saigal, A.H. Shore",No,No,No
Janmabhoomi,"['Romance', ' Drama']","A nationalist rural drama. The plot has Ajau and his girl friend Protima working on behalf of Indian villagers, incurring the enmity of the local zamindar and the villainous Sanatan. Ajay's relentless goodness eventually persuades the zamindar to bequeath his property to the hero, and general well-being reigns as class conflict is transmuted into class collaboration. The film includes the nationalist song 'Jai jai janani janmabhoomi' and other choruses with a similar thrust.",1936-04-03,['Franz Osten'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0027815,"Ashok Kumar, Devika Rani, Pramila",No,No,Yes
Jeevan Naiya,['Drama'],"Lata, daughter of a dancing girl, is brought up by social worker Mathuradas and is engaged to marry the rich Ranjit when the villain Chand arrives to blackmail her with her undisclosed ancestry. Lata is forced to disclose the truth to Ranjit and the assembled wedding guests. Ranjit disowns her but they are reunited when Ranjit, blinded by an explosion, is nursed back to health by a devoted woman who turns out to be his wife.",1936-05-02,['Franz Osten'],Yes,No,No,No,No,No,Yes,No,No,No,tt0027817,"Ashok Kumar, Devika Rani, Kamta Prasad",No,No,Yes
Untouchable Girl,"['Drama', ' Music']","An ""untouchable"" girl and a Brahmin boy fall in love, but the strict caste system and the gossip of the villagers threaten to keep them apart.",1936-08-15,['Franz Osten'],Yes,No,No,No,No,No,Yes,No,No,No,tt0027256,"Ashok Kumar, Devika Rani, Monorama",No,No,Yes
Amar Jyoti,"['Drama', ' Adventure', ' Action', ' Music']","Faced with extreme patriarchal laws in an ancient seaport kingdom and denied the legal custody of her infant son, a young woman becomes a pirate declaring war on the state's tyrannical minister of justice.",1936-08-15,['Shantaram Rajaram Vankudre'],Yes,No,Yes,No,No,No,Yes,No,No,No,tt0268915,"Shanta Apte, Vasanti, Durga Khote",No,No,No
Gentleman Daku,"['Action', ' Adventure']","The story follows a brave man who rescues a sweet girl from criminals, and they fall in love. An incident causes trouble, leading to consequences for the family and the criminals.",1937-01-01,['Ram Daryani'],Yes,No,Yes,No,No,No,Yes,No,No,No,tt0158635,Leela Chitnis,No,No,No
Jeevan Swapna,"['Drama', ' Music']","""Journeys End"" a traditional tale told by one of the pioneers in Indian cinema, Jaddanbai Hussain (1892-1949).",1937-01-01,['Jaddanbai'],Yes,No,No,No,No,No,Yes,No,No,No,tt0230365,"Mehtab, A. Hussain, Maruti Rao",No,No,No
Duniya Na Mane,['Drama'],A young girl who is forced to marry an aging lawyer. She is implored to find a young husband before her would be husband snuffs the idea out.,1937-01-07,['Shantaram Rajaram Vankudre'],Yes,No,No,No,No,No,Yes,No,No,No,tt0028815,"Shanta Apte, Vimala Vasishta, Keshavrao Date",No,No,No
President,['Drama'],"Badi Bahen aka President is a 1937 Hindi social romantic drama film (the Bengali version was called Didi and starred several different actors). The story according to the credit roll of the film is ""A tale of love and greater love"" developed on an idea by M. M. Begg. It was a love triangle with a social content that highlighted the conditions of the mill workers. It was also the first film to show a liberated educated woman managing her own factory",1937-01-08,['Nitin Bose'],Yes,No,No,No,No,No,Yes,No,No,No,tt0273103,"Leela Desai, K.L. Saigal, Devbala",No,No,No
Prem Kahani,"['Drama', ' Family', ' Romance']",Two widowed sisters thwart a love match when they try to arrange marriages for their respective children.,1937-10-13,['Franz Osten'],Yes,Yes,No,Yes,No,No,Yes,No,No,No,tt0029436,"Ashok Kumar, N.M. Joshi, Bilqis",No,No,Yes
Zamana,"['Drama', ' Romance']","A married couple is overcoming social challenges and obstacles, with fate playing a pivotal role in their decisions.",1938-01-01,['Ram Daryani'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0159146,"Jeevan Dhar, Padmadevi",No,No,No
Bhabhi,"['Family', ' Drama']","The film is family social drama, which deals with the issue of young widows. It put a special focus on the Indian society's attitude towards them, and society's bigoted approach to ""man- woman relationships""",1938-01-01,['Franz Osten'],Yes,No,No,Yes,No,No,Yes,No,No,No,tt0029911,"Meera, Paidi Jairaj, Renuka Devi",No,No,No
Jailor,['Drama'],"Modi's first psychodramatic role as a liberal man becoming a tyrannical jailer. He loses his wife to a lover who then goes blind. The jailer locks up his wife, Kanwal, in their own home, forbidding any contact with their child, Bali. Later the jailer himself falls in love with a blind woman.",1938-01-01,['Sohrab Modi'],Yes,No,No,No,No,No,Yes,No,No,No,tt0243340,"Leela Chitnis, Sohrab Modi, Sadiq Ali",No,No,No
Street Singer,['Drama'],Two street urchins dream of singing and making it big in the glamorous world of theatre in Calcutta.,1938-02-04,['Phani Majumdar'],Yes,No,No,No,No,No,Yes,No,No,No,tt0030806,"Kanan Devi, K.L. Saigal, Boken Chatto",No,No,No
Professor Vaman M.Sc,"['Science Fiction', ' Horror']","Using the moon’s rays, Professor Harnam invents a potion that turns man into a murderous beast. His brother Professor Vaman, realizing the dangers of this invention, realizes the urgent need of producing an antidote to avoid disaster. However, it is too late as Harnam’s daughter drinks the potion during a quarrel with her lover Detective Kishore and the city begins to witness a murder spree amongst its elite and wealthy citizens.",1938-10-13,['Manibhai Vyas'],No,No,Yes,No,No,No,Yes,No,No,No,tt0420096,"Eddie Billimoria, Mazhar Khan, Sunita",No,No,No
Nirmala,"['Drama', ' Music']","Nirmala (Devika Rani) is a modern girl - young, beautiful, dressed in the latest fashions, attends college, and is even the only female in an all-male class. She doesn't take second place to the men, besting all but one in the annual exams. She tied with Ramdas (Ashok Kumar). But, at the same time she is tied to the age-old culture, traditions and religion. She yearns for a husband and for motherhood. And this conflict forms the crux of the story.",1938-10-14,['Franz Osten'],Yes,No,No,No,No,No,Yes,No,No,No,tt0030505,"Ashok Kumar, Devika Rani, Maya Devi",No,No,Yes
Sapera,['Horror'],Adapted from a story by Kazi Nazrul Islam this film concerns love and revenge among a tribe of snake charmers led by Jahar (Nawab) who is searching for his 100th poisonous snake so as to show how he can magically cure its deadly bite.,1939-01-01,['Debaki Kumar Bose'],No,No,Yes,No,No,No,Yes,No,No,No,tt0275651,"Kanan Devi, Krishna Chandra Dey, Pahadi Sanyal",No,No,No
Brandy Ki Botal,['Drama'],"A clerk in a municipal office discovers brandy to save his boss's ill son, leading to adventures.",1939-01-01,['Vinayak Karnataki'],Yes,No,No,No,No,No,Yes,No,No,No,tt0274394,"Vinayak Karnataki, V.G. Jog, Salvi",No,No,No
Leatherface,"['Action', ' Adventure']","In this stunt-film, Hero Samar (Jairaj) singlehandedly takes on the might of the oppressive state led by the warlord chief (M. Zahoor). He falls in love with the chief's sister Ila (Mehtab) and fights his revolution from the tavern of Dulari (Shirin) with little more than a band of adventurers, a leatherface mask, his faithful dog Tiger, and his horse Bahadur.",1939-01-01,['Vijay Bhatt'],Yes,No,Yes,No,No,No,Yes,No,No,No,tt0139419,"Miss Mehtab, Paidi Jairaj, Shirin Banu",No,No,No
Life's for Living: Aadmi,['Drama'],"A love tragedy featuring a policeman, Moti (Modak) and a prostitute, Kesar (Hublikar).",1939-01-01,['Shantaram Rajaram Vankudre'],Yes,No,No,No,No,No,Yes,No,No,No,tt0275185,"Shahu Modak, Shanta Hublikar, Sundarabai",No,No,No
Durga,['Drama'],"Rural melodrama about Durga, an adolescent child of nature, living with her aged mother Heera. Unable to get the medicine required to prevent her mother's death, one misfortune after another befalls the heroine in spite of the sympathies of the newly arrived village doctor, Jawahar.",1939-01-06,['Franz Osten'],Yes,No,No,No,No,No,Yes,No,No,No,tt0031258,"Enver, Vishnupant Aundhkar, Saroj Borkar",No,No,No
Prem Nagar,['Romance'],"Prem Nagar is a small, happy and contented village somewhere in India. A tiny spark of anger flared up a misunderstanding, a quarrel, jealousy, and greed: So grew envy. This envy burst out into a flame and the flame nearly destroyed the whole village.",1940-01-01,['Mohan Dayaram Bhavnani'],No,Yes,No,No,No,No,Yes,No,No,No,tt0032942,Gulzar,No,No,No
Ek Hi Bhool,"['Horror', ' Mystery']",A man is executed for a crime he did not commit. Is his ghost seeking revenge?,1940-01-01,['Vijay Bhatt'],No,Yes,Yes,No,No,No,Yes,No,No,No,tt0139174,Meena Kumari,No,No,Yes
Anarbala,['Horror'],"Agya Betal (Syed Jan), the demonic ruler of Maldweep, kidnaps Anarbala (Shanta Kashmiri), the daughter of Maharaja Madan Singh (Abdul Rahim Pahelwan), and keeps her hidden away in a magic city where monsters worship the goddess Narka Kumari while sacrificing devotees of the god Vishnu.",1940-01-01,['A.M. Khan'],No,No,Yes,No,No,No,Yes,No,No,No,tt0419444,"Shanta Kashmiri, Ameena, Benjamin",No,No,No
Aurat,['Drama'],"Radha is a resolute mother, who strives hard against poverty and a lecherous money lender to feed her two sons who grew up with contrasting temperament.",1940-01-02,['Mehboob Khan'],Yes,No,No,No,No,No,Yes,No,No,No,tt0032226,"Sardar Akhtar, Surendra, Lala Yaqoob",No,No,No
Azad,['Drama'],"The story centres on three college friends: the liberal Vijay, the conservative Loknath and Jagdish.",1940-01-15,['N.R. Acharya'],Yes,No,No,No,No,No,Yes,No,No,No,tt0149751,"Leela Chitnis, Hansa Wadkar, Ashok Kumar",No,No,Yes
Acchut,"['Drama', ' History']","Achhut (The Untouchable) is a 1940 social Indian Hindi film based on untouchability. It was the third highest grossing Indian film of 1940. The film was made to ""promote Gandhi's movement against untouchability"".",1940-04-05,['Chandulal Shah'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0275893,"Vasanti, Gohar Jan, Motilal",No,No,No
Zindagi,['Drama'],The story of an unemployed graduate who falls in love with a woman who ran away from her cruel husband.,1940-07-11,['P.C. Barua'],Yes,No,No,No,No,No,Yes,No,No,No,tt0156192,"K.L. Saigal, Pahadi Sanyal, Ashalata Wabgaonkar",No,No,No
Bandhan,"['Drama', ' Family']","Bandhan is a 1940 Indian Bollywood film directed by N.R. Acharya. It stars Leela Chitnis, Ashok Kumar and Suresh. It was the second highest grossing Indian film of 1940. It was produced by Bombay Talkies.",1940-08-10,['N.R. Acharya'],Yes,No,No,Yes,No,No,Yes,No,No,No,tt0149784,"Leela Chitnis, V.H. Desai, Ashok Kumar",No,No,Yes
Alibaba,['Fantasy'],"Alibaba and his son live with his rich brother Cassim. Marjina and Zabba are two slave girls who work in Cassim's house. Marjina and Alibaba's son are in love with each other. Zabba is in league with Abu Hassan, who is the leader of a gang of thieves. Alibaba finds the thieves' cave and becomes rich. Cassim's wife insists on knowing the secret of his wealth. Alibaba tells his brother who goes to the cave but can't get out as he's forgotten the magic words. The thieves find him and kill him. Alibaba and his son find Cassim and bring his body back for burial. Abu Hassan finds out about Alibaba, and the story then follows Marjina outsmarting Abu Hassan, who comes visiting as a merchant.",1940-11-22,['Mehboob Khan'],No,No,No,Yes,No,No,Yes,No,No,No,tt0231120,"Surendra, Wahidan, Ghulam Mohammed",No,No,No
Nartaki,"['Drama', ' Music', ' Romance']","Roop Kumari (Leela Desai) a famous court dancer is forbidden entry into a temple monastery run by a strict disciplinarian Priest. The cast listed here is for the Hindi version, there is also a Bengali version with a different cast, but same director and release year.",1940-12-24,['Debaki Kumar Bose'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0032836,"Najmul Hussain, Leela Desai, Bhanu Bannerjee",No,No,No
Chitralekha,"['Drama', ' History', ' Musical', ' Romance']","Chitralekha is a 1941 Indian Hindi-language film, directed by Kidar Sharma and based on the 1934 Hindi novel of the same name by Bhagwati Charan Verma.",1941-01-01,['Kidar Nath Sharma'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0279731,"Miss Mehtab, A.S. Gyani, Nandrekar",No,No,No
Padosi,['Drama'],"Hindi version of the film starring Mazhar Khan, Gajanan Jagirdar and Anees Khatoon. In a small village in India, the villagers of different communities live in harmony. But when an industrialist, arrives to construct a dam, he sows distrust and disunity between the Muslim and Hindi communities.",1941-01-01,['Shantaram Rajaram Vankudre'],Yes,No,No,No,No,No,Yes,No,No,No,tt0331308,"Gajanan Jagirdar, Mazhar Khan, Anees Khatoon",No,No,No
