title,adult,genre,id,language,plot,release_date,imdb_score,imdb_id,cast,directors,movie_duration
Wandering Phantom,False,Horror,1300804,hi,Indian horror movie from 1926.,1926-01-01,0.0,tt0156359,[],['Mohan Dayaram Bhavnani'],
Typist Girl,False,Drama,291052,hi,"Indian silent film starring Ruby Mayer (Sulochana), released in 1926.",1926-10-30,0.0,tt20588890,['G.Mohanial Dave'],"['Devare S. Gajanan', 'Chandulal Shah']",
Sati Savitri,False,"Drama, Fantasy",722057,hi,"Baburao Painter’s mythological silent feature SatiSavitri (1927) narrates the tale of love and devotion of legendary Savitri, who won back her husband from the Lord of death Yama. Only 32 minutes exists.",1927-01-01,0.0,tt0249938,"['Sushila Bai', 'Anusuya Bai', 'Gulab Bai']",['Baburao Painter'],
Wildcat of Bombay,False,"Crime, Drama",292647,hi,"The story revolves around the characters played by the actress Sulochana. Sulochana had eight separate roles in this film: a gardener, a policeman, a Hyderabadi gentleman, a street urchin, a European blonde, an old banana-seller and an expert pickpocket who gives her money to charity.",1927-02-26,0.0,tt0157188,['Desai'],['Mohan Dayaram Bhavnani'],
Sacrifice,False,Drama,585687,hi,"The story addresses the conflict between reformist enlightenment and obsolete, inhuman ritual, questioning the contemporary validity of traditional rituals. The dramatic pivot is the conflict between the king who banned animal sacrifice, and the priest who calls for the king's own blood. Emotionally, the film revolves around the childless queen and a beggar girl whose pet goat has been taken for the sacrifice and who loves a servant in the temple.",1927-03-01,0.0,tt0214522,"['Jamshed Ratnagar', 'Rabindranath Tagore']",['Naval Gandhi'],
Anarkali,False,Drama,1197520,hi,Film starring Ruby Myers.,1928-07-14,0.0,tt26237350,['Narayan Vijay Thakur'],['R.S. Choudhury'],
Madhuri,False,Drama,1197535,hi,"The story follows a kind princess, facing danger from an evil prince, while a brave warrior helps her and they fell in love, but face unknown dangers.",1928-08-18,0.0,tt0158739,['Vasantrai H. Desai'],['R.S. Choudhury'],
Cruel Sorceress,False,"Horror, Fantasy",1301136,hi,Indian horror movie from 1929.,1929-01-01,0.0,tt0391549,"['Navinchandra', 'Zebunissa', 'Pehalwan Nandram']",['Anand Prasad Kapoor'],
Anarbala,False,"Horror, Fantasy",1300785,hi,"A lighting fast horse, a pair of magic sandals, and a mystical stick aid an adventurous young lady (Zebunissa).",1929-01-01,0.0,tt0241179,"['Zebunissa', 'Master Vithal', 'Lobo']",['Bhagwati Prasad Mishra'],
A Throw of Dice,False,"Drama, Adventure, Romance",35454,hi,"Two neighboring kings addicted to gambling, Ranjit and his cousin Sohat, vie for the same beautiful young woman, Sunita, daughter of the hermit Kanwa.",1929-08-16,6.259,tt0020286,"['Niranjan Pal', 'W.A. Burton', 'Max Jungk']",['Franz Osten'],1h 25m
Indira B.A.,False,Drama,284508,hi,Indian film released in 1929.,1929-10-19,0.0,tt0158677,['Vasantrai H. Desai'],['R.S. Choudhury'],
Bhoot Raja,False,Horror,1300796,hi,Indian horror movie from 1931.,1931-01-01,0.0,tt0390923,[],[],
The Light of the World,False,Fantasy,273111,hi,"A period fantasy that told of the ageing king of Kamarpur, and his two rival queens, Navbahar and Dilbahar, and their rivalry when a fakir predicts that Navbahar will bear the king's heir. Dilbahar unsuccessfully tries to seduce the army chief Adil (Vithal) and vengefully destroys his family, leaving his daughter Alam Ara (Zubeida) to be raised by nomads. Eventually, Alam Ara's nomad friends invade the palace, expose Dilbahar's schemes, release Adil from the dungeon and she marries the prince of the realm.",1931-03-14,6.0,tt0021594,"['Joseph David', 'Ardeshir Irani']",['Ardeshir Irani'],
Diler Jagar,False,"Action, Adventure, Drama",419550,hi,"This silent film opens with shots of a hand distributing charity from a silver plate to a waiting crowd and tells of the good king of Magadh's fight with his evil ministers. The king is poisoned by his brother, the evil Kalsen and the infant prince Chandrapratab, smuggled out by the loyal sardar Satyapal, grows up in a forest to become the acrobat Hamir (Hamir) in love with his partner, the beautiful Saranga (Pawar, credited as 'Ambu'). Saranga is kidnapped by Kalsen's son Ramanaraj , described as 'the perfect libertine', but Kalsen takes her away from his son and attempts to seduce Saranga with promises of wealth. The fearless Hamir fights dozens of soldiers, in amateurishly staged fights, trying to liberate her. In the end Saranga, rejected by her lover for having been tempted by Kalsen's promises of wealth, dons a mask and turns into a Zorr-type avenger. Hamir is eventually recognized by the royal tattoo on his shoulder and restored to the throne as well as reunited with Saranga.",1931-10-04,5.7,tt0252380,['G.P. Pawar'],['S.S.Agarwal'],1h 44m
Madhuri,False,"Drama, Action, Adventure",1197472,hi,"The Gupta period depicts battles between Ujjain and Kanauj kingdoms, featuring Amber, Prince Tikka, and Madhuri, who defeats Kanauj's commander and rescues Amber.",1932-01-01,0.0,tt0158740,['G. Mohanial Dave'],['R.S. Choudhury'],
Draupadi,False,Drama,1300544,hi,Draupadi (The Daughter Of King Drupad) is a 1931 sound film from Indian cinema.,1932-12-31,0.0,tt0241387,['Bhagwati Prasad Mishra'],['Bhagwati Prasad Mishra'],
Aurat Ka Pyaar,False,Drama,1197922,hi,Film starring Ali Athar and Anwari Begum.,1933-01-01,0.0,tt0231198,"['Anwari', 'Ali Athar', 'Bachan']",['Abdul Rashid Kardar'],
Miss 1933,False,"Crime, Drama",1039978,hi,A classic modernization melodrama exploring the consequences of female autonomy.,1933-01-01,0.0,tt0262623,"['Gohar Jan', 'Mehtab', 'Eddie Billimoria']",['Chandulal Shah'],
Indira M.A.,False,Drama,1197424,hi,"A girl with an MA from Oxford rejects an 'idiot' chosen by her alcoholic father, and falls for the playboy.",1934-01-01,0.0,tt0230330,['G. Mohanial Dave'],['Nandlal Jaswantlal'],
Society's Mistake,False,"Drama, Crime",1040073,hi,Unusually violent film for its time advocating widow's right to remarry.,1934-01-01,0.0,tt0239932,['Munshi Zameer'],['Homi Master'],
Seeta,False,Drama,314900,hi,"Seeta was a 1933 Indian talkie Bengali film, directed by Debaki Bose and produced by the East India Film Company.[1] It won an honorary diploma in the 2nd Venice International Film Festival in 1934, becoming the first Indian talkie to be shown at an international film festival.",1934-12-30,0.0,tt0157008,"['Mukhtar Begum', 'Dhiraj Bhattacharya', 'Gul Hamid']",['Debaki Kumar Bose'],
The Mill,False,Drama,986532,hi,A realistic treatment of industrial working-class conditions in a Bombay textile mill.,1934-12-31,0.0,tt0156780,"['Mohan Dayaram Bhavnani', 'Munshi Premchand']",['Mohan Dayaram Bhavnani'],
Wedding Night,False,"Horror, Thriller, Romance",1266254,hi,"The Story revolves around the life of a kind and sweet girl living with her family and her family wanted a fortune for her and arranged her marriage with a kind man and they meet before their marriage and fells in love with each other- but things get complicated in their wedding night- which causes their life into trouble- but fate plays its role, leading to consequences.",1935-01-01,0.0,tt0157019,"['Nargis', 'S.B. Nayampalli', 'Fatty Prasad']",['Mohan Dayaram Bhavnani'],
Anarkali,False,Drama,1197250,hi,Film starring Ruby Myers.,1935-01-01,0.0,tt0026070,"['Dinshaw Billimoria', 'Jillo', 'Ruby Mayer']",['R.S. Choudhury'],
Judgement of Allah,False,History,1006660,hi,"A classic period movie. It is set in the Ottaman empire where Caesar's Roman armies clash with the Muslim kingdoms. Ziyad, the son of the sultan, is captured by the Romans. Rahil, a Roman princess, falls in love with him and asks the Muslim woman Leila to guard him. Leila smuggles a message written in her blood to the sultan.",1935-01-01,0.0,tt0231835,"['Mehboob Khan', 'Munshi Ehsan Lucknowi']",['Mehboob Khan'],
Inquilab,False,Drama,969800,hi,"A drama set amid an earthquake in Bihar. Miss Renee (Khote) looks after the victims while her lover, the businessman Sardar (Mohanned), wants to make money from the disaster.",1935-01-01,6.0,tt0026530,['Debaki Kumar Bose'],['Debaki Kumar Bose'],
Jawani Ki Hawa,False,"Romance, Crime, Thriller",941759,hi,"Kamala elopes on her wedding day with her childhood friend Ratanlal. Her father Manganlal chases the couple and catches them on a train. His furious exchanges with Ratanlal are interrupted by gunfire and in the mysterious gloom of the evening a body is thrown off the train. The suspects are Ratanlal, who cannot furnish an alibi, Kamala, who insists on being the murderess, ex-convict Sukhdev, who confesses to the murder claiming robbery to be the motive, and the lunatic Tarachand, who also admits his guilt.",1935-01-01,0.0,tt0026544,"['J.S. Casshyap', 'S.I. Hassan', 'Niranjan Pal']",['Franz Osten'],
Dhoop Chhaon,False,Drama,304977,hi,"A remake of the Bengali film Bhagya Chakra, it was the first Hindi film to use playback singing. It was director Nitin Bose who came up with the idea of playback singing.",1935-01-01,0.0,tt0379255,"['Nitin Bose', 'Sudarshan']",['Nitin Bose'],
Vengeance Is Mine,False,Drama,292180,hi,Film starring Sitara Devi and Kumar.,1935-01-02,0.0,tt0155342,"['Sabita Devi', 'Sitara Devi', 'Mehboob Khan']",['Sarvottam Badami'],
Hunterwali,False,"Adventure, Action",284396,hi,"Preceded by a legend describing its heroine as a 'Brave Indian girl who sacrificed royal luxuries to the cause of her people and her country', the story opens with a prologue showing Krishnavati and her infant son being thrown out of the house in a thunderstorm by the wicked Prime Minister Ranamal who also killed her brother. 20 years later the now adult son, Jaswant, is hit by a royal motor car and given a bag of gold in compensation. His refusal of the gift attracts the admiration of Princess Madhuri. When the nasty Ranamal, who wants to marry her, imprisons her father the king, she becomes the masked Hunterwali, 'protector of the poor and punisher of evildoers', and performer of stunts like jumping over a moving cartand fighting 20 soldiers at once. She steals Jaswant's prize horse, Punjab, but returns it later. Jaswant chances upon a nude Hunterwali bathing in the river and after a long duel captures her and takes her to Ranamal to claim his reward.",1935-01-02,0.0,tt0268376,"['Joseph David', 'Homi Wadia', 'J.B.H. Wadia']",['Homi Wadia'],
Madam Fashion,False,"Drama, Music",663144,hi,"About the modern girl of India. Fashion, fast cars, luxury and sexual freedom.",1936-01-01,0.0,tt0230482,['Jaddanbai'],['Jaddanbai'],
Miss Frontier Mail,False,Drama,285233,hi,"Savita, aka Miss 1936, is an amateur hunter while her brother Jayant is an amateur film-maker. Their father, Maganlal, arrested for the murder of a station-master, is defended by their uncle Shyamlal, who is in fact the mysterious Signal X. Shyamlal causes a major train smash-up so as to promote his new airline. He then implicates hero Sundar, son of the railway president, in the crime. Savita overcomes the nasty Signal X, whose henchmen are caught on film by Jayant as they sabotage a bridge. Nadia indulges in extensive fist-fights, set to heavy sound effects, and a famous battle alongside Sundar atop a moving train.",1936-01-02,0.0,tt0271640,['J.B.H. Wadia'],['Homi Wadia'],
Devdas,False,"Drama, Romance",320262,hi,"Devdas, the son of a zamindar, and Parvati, his neighbour's daughter, are childhood sweethearts. However, class and caste differences prevent their marriage. Devdas is sent off to Calcutta, while Paro is married off to an aged rich widower. In Calcutta, as remorse drives him to alcohol, Devdas meets Chandramukhi, a tawaif.",1936-01-22,4.8,tt0026274,"['Sarat Chandra Chattopadhyay', 'P.C. Barua', 'Kidar Nath Sharma']",['P.C. Barua'],
Janmabhoomi,False,"Romance, Drama",107232,hi,"A nationalist rural drama. The plot has Ajau and his girl friend Protima working on behalf of Indian villagers, incurring the enmity of the local zamindar and the villainous Sanatan. Ajay's relentless goodness eventually persuades the zamindar to bequeath his property to the hero, and general well-being reigns as class conflict is transmuted into class collaboration. The film includes the nationalist song 'Jai jai janani janmabhoomi' and other choruses with a similar thrust.",1936-04-03,0.0,tt0027815,"['J.S. Casshyap', 'Niranjan Pal']",['Franz Osten'],
Jeevan Naiya,False,Drama,769899,hi,"Lata, daughter of a dancing girl, is brought up by social worker Mathuradas and is engaged to marry the rich Ranjit when the villain Chand arrives to blackmail her with her undisclosed ancestry. Lata is forced to disclose the truth to Ranjit and the assembled wedding guests. Ranjit disowns her but they are reunited when Ranjit, blinded by an explosion, is nursed back to health by a devoted woman who turns out to be his wife.",1936-05-02,4.0,tt0027817,"['J.S. Casshyap', 'Niranjan Pal']",['Franz Osten'],
Untouchable Girl,False,"Drama, Music",214742,hi,"An ""untouchable"" girl and a Brahmin boy fall in love, but the strict caste system and the gossip of the villagers threaten to keep them apart.",1936-08-15,5.0,tt0027256,"['J.S. Casshyap', 'Niranjan Pal', 'Himanshu Rai']",['Franz Osten'],
Amar Jyoti,False,"Drama, Adventure, Action, Music",214721,hi,"Faced with extreme patriarchal laws in an ancient seaport kingdom and denied the legal custody of her infant son, a young woman becomes a pirate declaring war on the state's tyrannical minister of justice.",1936-08-15,0.0,tt0268915,"['K. Narayan Kale', 'Narottam Vyas']",['Shantaram Rajaram Vankudre'],
Zinda Bhoot,False,Horror,1300793,hi,Indian horror movie from 1937.,1937-01-01,0.0,tt0390655,[],[],
Black Ghost,False,Horror,1266263,hi,Indian horror movie from 1937,1937-01-01,0.0,tt0361790,"['Bashir', 'Bose', 'Gohar Karnataki']",['A.M. Khan'],
Gentleman Daku,False,"Action, Adventure",1197572,hi,"The story follows a brave man who rescues a sweet girl from criminals, and they fall in love. An incident causes trouble, leading to consequences for the family and the criminals.",1937-01-01,0.0,tt0158635,['Leela Chitnis'],['Ram Daryani'],
Dhanwan,False,Drama,1197550,hi,Film starring Rattan Bai and Hafisji.,1937-01-01,0.0,tt0154403,[],['Premankur Attorthy'],
Jeevan Swapna,False,"Drama, Music",662882,hi,"""Journeys End"" a traditional tale told by one of the pioneers in Indian cinema, Jaddanbai Hussain (1892-1949).",1937-01-01,0.0,tt0230365,"['Mehtab', 'A. Hussain', 'Maruti Rao']",['Jaddanbai'],
Duniya Na Mane,False,Drama,316253,hi,A young girl who is forced to marry an aging lawyer. She is implored to find a young husband before her would be husband snuffs the idea out.,1937-01-07,0.0,tt0028815,"['Narayan Hari Apte', 'Munshi Aziz']",['Shantaram Rajaram Vankudre'],
President,False,Drama,409240,hi,"Badi Bahen aka President is a 1937 Hindi social romantic drama film (the Bengali version was called Didi and starred several different actors). The story according to the credit roll of the film is ""A tale of love and greater love"" developed on an idea by M. M. Begg. It was a love triangle with a social content that highlighted the conditions of the mill workers. It was also the first film to show a liberated educated woman managing her own factory",1937-01-08,5.0,tt0273103,['Nitin Bose'],['Nitin Bose'],
Prem Kahani,False,"Drama, Family, Romance",421289,hi,Two widowed sisters thwart a love match when they try to arrange marriages for their respective children.,1937-10-13,0.0,tt0029436,"['J.S. Casshyap', 'S.I. Hassan', 'Niranjan Pal']",['Franz Osten'],
Zamana,False,"Drama, Romance",1198074,hi,"A married couple is overcoming social challenges and obstacles, with fate playing a pivotal role in their decisions.",1938-01-01,0.0,tt0159146,"['Jeevan Dhar', 'Padmadevi']",['Ram Daryani'],
Bhabhi,False,"Family, Drama",461830,hi,"The film is family social drama, which deals with the issue of young widows. It put a special focus on the Indian society's attitude towards them, and society's bigoted approach to ""man- woman relationships""",1938-01-01,0.0,tt0029911,['Saradindu Bandopadhyay'],['Franz Osten'],
Jailor,False,Drama,284539,hi,"Modi's first psychodramatic role as a liberal man becoming a tyrannical jailer. He loses his wife to a lover who then goes blind. The jailer locks up his wife, Kanwal, in their own home, forbidding any contact with their child, Bali. Later the jailer himself falls in love with a blind woman.",1938-01-01,0.0,tt0243340,"['Kamal Amrohi', 'J.K. Nanda']",['Sohrab Modi'],
Street Singer,False,Drama,409246,hi,Two street urchins dream of singing and making it big in the glamorous world of theatre in Calcutta.,1938-02-04,5.0,tt0030806,"['Phani Majumdar', 'A.H. Shore']",['Phani Majumdar'],
Professor Vaman M.Sc,False,"Science Fiction, Horror",952288,hi,"Using the moon’s rays, Professor Harnam invents a potion that turns man into a murderous beast. His brother Professor Vaman, realizing the dangers of this invention, realizes the urgent need of producing an antidote to avoid disaster. However, it is too late as Harnam’s daughter drinks the potion during a quarrel with her lover Detective Kishore and the city begins to witness a murder spree amongst its elite and wealthy citizens.",1938-10-13,0.0,tt0420096,['Gunwantrai Acharya'],['Manibhai Vyas'],
Nirmala,False,"Drama, Music",421378,hi,"Nirmala (Devika Rani) is a modern girl - young, beautiful, dressed in the latest fashions, attends college, and is even the only female in an all-male class. She doesn't take second place to the men, besting all but one in the annual exams. She tied with Ramdas (Ashok Kumar). But, at the same time she is tied to the age-old culture, traditions and religion. She yearns for a husband and for motherhood. And this conflict forms the crux of the story.",1938-10-14,0.0,tt0030505,['J.S. Casshyap'],['Franz Osten'],
Sapera,False,Horror,1315805,hi,Adapted from a story by Kazi Nazrul Islam this film concerns love and revenge among a tribe of snake charmers led by Jahar (Nawab) who is searching for his 100th poisonous snake so as to show how he can magically cure its deadly bite.,1939-01-01,0.0,tt0275651,"['Lalchand Bismil', 'Debaki Kumar Bose', 'Kazi Nazrul Islam']",['Debaki Kumar Bose'],
Brandy Ki Botal,False,Drama,1202630,hi,"A clerk in a municipal office discovers brandy to save his boss's ill son, leading to adventures.",1939-01-01,0.0,tt0274394,['Pralhad Keshav Atre'],['Vinayak Karnataki'],
Meri Aankhen,False,Drama,1195094,hi,Film starring Khursheed and Sitara Devi,1939-01-01,0.0,tt0232085,"['Khursheed', 'Mazhar Khan', 'Ishwarlal']",['Dwarka Khosla'],
Leatherface,False,"Action, Adventure",959009,hi,"In this stunt-film, Hero Samar (Jairaj) singlehandedly takes on the might of the oppressive state led by the warlord chief (M. Zahoor). He falls in love with the chief's sister Ila (Mehtab) and fights his revolution from the tavern of Dulari (Shirin) with little more than a band of adventurers, a leatherface mask, his faithful dog Tiger, and his horse Bahadur.",1939-01-01,0.0,tt0139419,"['Batuk Bhatt', ""Sampatlal 'Anuj' Srivastava""]",['Vijay Bhatt'],
Kangan,False,Romance,307867,hi,Classic Bollywood film starring Leela Chitnis and Ashok Kumar.,1939-01-01,0.0,tt0031527,"['Saradindu Bandopadhyay', 'Gajendra Kumar Mitra', 'S. Mukherjee']",['Franz Osten'],
Life's for Living: Aadmi,False,Drama,300715,hi,"A love tragedy featuring a policeman, Moti (Modak) and a prostitute, Kesar (Hublikar).",1939-01-01,0.0,tt0275185,"['Munshi Aziz', 'A. Bhaskarrao', 'Anant Kanekar']",['Shantaram Rajaram Vankudre'],2h 44m
Durga,False,Drama,410299,hi,"Rural melodrama about Durga, an adolescent child of nature, living with her aged mother Heera. Unable to get the medicine required to prevent her mother's death, one misfortune after another befalls the heroine in spite of the sympathies of the newly arrived village doctor, Jawahar.",1939-01-06,0.0,tt0031258,"['Saradindu Bandopadhyay', 'Narottam Vyas']",['Franz Osten'],
Prem Nagar,False,Romance,1301683,hi,"Prem Nagar is a small, happy and contented village somewhere in India. A tiny spark of anger flared up a misunderstanding, a quarrel, jealousy, and greed: So grew envy. This envy burst out into a flame and the flame nearly destroyed the whole village.",1940-01-01,0.0,tt0032942,['Gulzar'],['Mohan Dayaram Bhavnani'],
Ek Hi Bhool,False,"Horror, Mystery",1300805,hi,A man is executed for a crime he did not commit. Is his ghost seeking revenge?,1940-01-01,0.0,tt0139174,['Meena Kumari'],['Vijay Bhatt'],
Anarbala,False,Horror,1266274,hi,"Agya Betal (Syed Jan), the demonic ruler of Maldweep, kidnaps Anarbala (Shanta Kashmiri), the daughter of Maharaja Madan Singh (Abdul Rahim Pahelwan), and keeps her hidden away in a magic city where monsters worship the goddess Narka Kumari while sacrificing devotees of the god Vishnu.",1940-01-01,0.0,tt0419444,['Munshi Nayab'],['A.M. Khan'],
Diamond Queen,False,Adventure,283183,hi,Directed by Homi Wadia.,1940-01-02,0.0,tt0032395,"['J.B.H. Wadia', 'Munshi Sham']",['Homi Wadia'],
Aurat,False,Drama,279192,hi,"Radha is a resolute mother, who strives hard against poverty and a lecherous money lender to feed her two sons who grew up with contrasting temperament.",1940-01-02,5.0,tt0032226,"['Babubhai A. Mehta', 'Wajahat Mirza']",['Mehboob Khan'],
Azad,False,Drama,467252,hi,"The story centres on three college friends: the liberal Vijay, the conservative Loknath and Jagdish.",1940-01-15,0.0,tt0149751,"['Saradindu Bandopadhyay', 'J.S. Casshyap']",['N.R. Acharya'],
Acchut,False,"Drama, History",1074475,hi,"Achhut (The Untouchable) is a 1940 social Indian Hindi film based on untouchability. It was the third highest grossing Indian film of 1940. The film was made to ""promote Gandhi's movement against untouchability"".",1940-04-05,0.0,tt0275893,['Chandulal Shah'],['Chandulal Shah'],
Zindagi,False,Drama,950138,hi,The story of an unemployed graduate who falls in love with a woman who ran away from her cruel husband.,1940-07-11,0.0,tt0156192,"['Javed Hussain', 'Kidar Nath Sharma']",['P.C. Barua'],
Bandhan,False,"Drama, Family",110820,hi,"Bandhan is a 1940 Indian Bollywood film directed by N.R. Acharya. It stars Leela Chitnis, Ashok Kumar and Suresh. It was the second highest grossing Indian film of 1940. It was produced by Bombay Talkies.",1940-08-10,0.0,tt0149784,"['J.S. Casshyap', 'Amiya Chakrabarty', 'Gyan Mukherjee']",['N.R. Acharya'],
Alibaba,False,Fantasy,1117468,hi,"Alibaba and his son live with his rich brother Cassim. Marjina and Zabba are two slave girls who work in Cassim's house. Marjina and Alibaba's son are in love with each other. Zabba is in league with Abu Hassan, who is the leader of a gang of thieves. Alibaba finds the thieves' cave and becomes rich. Cassim's wife insists on knowing the secret of his wealth. Alibaba tells his brother who goes to the cave but can't get out as he's forgotten the magic words. The thieves find him and kill him. Alibaba and his son find Cassim and bring his body back for burial. Abu Hassan finds out about Alibaba, and the story then follows Marjina outsmarting Abu Hassan, who comes visiting as a merchant.",1940-11-22,0.0,tt0231120,"['Surendra', 'Ghulam Mohammed', 'Wahidan']",['Mehboob Khan'],
Nartaki,False,"Drama, Music, Romance",573842,hi,"Roop Kumari (Leela Desai) a famous court dancer is forbidden entry into a temple monastery run by a strict disciplinarian Priest. The cast listed here is for the Hindi version, there is also a Bengali version with a different cast, but same director and release year.",1940-12-24,0.0,tt0032836,"['Debaki Kumar Bose', 'A.H. Shore']",['Debaki Kumar Bose'],
Jhoola,False,Drama,790671,hi,Hindi film from 1941,1941-01-01,0.0,tt0033772,"['Shaheed Latif', 'Gyan Mukherjee', 'P.L. Santoshi']",['Gyan Mukherjee'],
Chitralekha,False,"Drama, History, Musical, Romance",787069,hi,"Chitralekha is a 1941 Indian Hindi-language film, directed by Kidar Sharma and based on the 1934 Hindi novel of the same name by Bhagwati Charan Verma.",1941-01-01,0.0,tt0279731,['Sibtain Fazli'],['Kidar Nath Sharma'],
Padosi,False,Drama,307396,hi,"Hindi version of the film starring Mazhar Khan, Gajanan Jagirdar and Anees Khatoon. In a small village in India, the villagers of different communities live in harmony. But when an industrialist, arrives to construct a dam, he sows distrust and disunity between the Muslim and Hindi communities.",1941-01-01,0.0,tt0331308,"['Vishram Bedekar', 'Pandit Sudershan']",['Shantaram Rajaram Vankudre'],2h 15m
Ummeed,False,"Comedy, Drama",301213,hi,Indian classic directed by Manibhai Vyas,1941-01-01,0.0,tt0829304,"['Ishwarlal', 'Prabha', 'Noor Jehan']",['Manibhai Vyas'],
Khazanchi,False,Mystery,284667,hi,"A cashier faces false allegations for killing an actress, so he needs to prove his innocence.",1941-01-02,0.0,tt0214846,['Dalsukh M. Pancholi'],['Moti B. Gidwani'],
Sikandar,False,"War, Drama, History",326143,hi,"The film begins after Alexander the Great (Sikander in Hindi/Urdu) conquers Persia and the Kabul valley and approaches the Indian border at Jhelum. Sohrab Modi plays the Indian king Puru (Porus to the Greeks).  The story goes that when Sikander defeated Porus and imprisoned him, he asked Porus how would he like to be treated. Porus replied the same way a defeated king is treated by the winner (meaning killed).",1941-02-19,0.0,tt0243559,['Sudarshan'],['Sohrab Modi'],2h 26m
Bahen,False,Drama,621686,hi,"Having saved his little sister Bina (Baby Meena Kumari) from the floods, Amar (Sheikh Mukhtar) becomes increasingly possessive about her over the years. Amar falls in love twice but forgoes marriage so he can look after the growing Bina. Bina (Nalini Jaywant), now a grown up young girl falls in love with the social activist Rajendra (Harish). However, Amar can not bear to lose Bina and so he plans her marriage to the thief Moti Kanhaiyalal, with the idea that he'll get her divorced after some time and then Bina would stay with him always. After several incidents that end up uniting Rajendra and Bina, Amar gets some happiness when a daughter is born to Bina.",1941-08-06,0.0,tt0139047,"['Babubhai A. Mehta', 'Wajahat Mirza', 'Zia Sarhadi']",['Mehboob Khan'],
Station Master,False,Drama,1194053,hi,"A railway employee, Kalicharan, would like Usha, the Station Master of Rangpur Railway Station's daughter, to get married to Niranjan, the DTS of Indian Railways, but Usha has fallen in love with Arun, a Guard with the Railway, wants to marry him, and refuses to marry Niranjan, who is twice as old as her and a widower as well.",1942-01-01,0.0,tt0035382,"['Vishnupant Aundhkar', 'P.L. Santoshi']",['Chimanlal Luhar'],
